City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,24.9,76,93,4.5,PN,1708301862
1,waitangi,-43.9535,-176.5597,19.34,93,5,12.26,NZ,1708301863
2,illizi,26.4833,8.4667,13.89,19,8,4.69,DZ,1708301864
3,devon,50.75,-3.75,10.23,94,95,5.01,GB,1708301826
4,port mathurin,-19.6833,63.4167,26.42,71,66,5.56,MU,1708301866
5,albany,42.6001,-73.9662,-0.18,56,96,4.26,US,1708301867
6,vice,-5.4167,-80.7833,28.62,65,73,7.39,PE,1708301867
7,harstad,68.799,16.5293,-0.34,91,99,8.94,NO,1708301868
8,puerto natales,-51.7236,-72.4875,13.45,74,92,3.86,CL,1708301870
9,katsuura,35.1333,140.3,16.38,67,38,7.17,JP,1708301872
10,kalajoki,64.25,23.95,-6.16,96,94,3.54,FI,1708301873
11,bethel,41.3712,-73.414,1.93,55,0,2.57,US,1708301874
12,ivdel',60.6911,60.4206,-11.56,84,84,4.02,RU,1708301875
13,port-aux-francais,-49.35,70.2167,4.54,81,53,10.62,TF,1708301877
14,armacao de buzios,-22.7469,-41.8817,25.03,89,87,1.29,BR,1708301878
15,minas de marcona,-15.2119,-75.1103,19.91,77,70,4.93,PE,1708301879
16,utrik,11.2278,169.8474,26.17,84,95,5.46,MH,1708301880
17,marang,5.2056,103.2059,24.95,87,75,0.47,MY,1708301881
18,virac,13.6333,124.2167,22.62,72,56,5.34,PH,1708301882
19,qaqortoq,60.7167,-46.0333,-3.6,79,100,2.82,GL,1708301883
20,arraial do cabo,-22.9661,-42.0278,24.98,87,71,2.42,BR,1708301758
21,ushuaia,-54.8,-68.3,9.06,98,100,2.0,AR,1708301662
22,iqaluit,63.7506,-68.5145,-33.15,62,0,10.29,CA,1708301886
23,invercargill,-46.4,168.35,16.12,63,80,11.18,NZ,1708301887
24,zouerate,22.7187,-12.4521,22.29,20,10,8.45,MR,1708301888
25,kapuskasing,49.4169,-82.4331,-15.95,66,40,5.66,CA,1708301889
26,talavera de la reina,39.9635,-4.8308,8.56,75,55,0.87,ES,1708301891
27,flying fish cove,-10.4217,105.6791,27.82,78,75,2.06,CX,1708301892
28,nuuk,64.1835,-51.7216,-0.66,100,100,3.09,GL,1708301632
29,bikenibeu village,1.3673,173.1241,31.98,70,40,5.14,KI,1708301894
30,dudinka,69.4058,86.1778,-20.77,91,100,12.07,RU,1708301895
31,toliara,-23.35,43.6667,26.06,65,38,5.0,MG,1708301896
32,antalaha,-14.9003,50.2788,24.83,93,100,2.82,MG,1708301838
33,pangody,65.85,74.4859,-16.91,85,100,12.9,RU,1708301898
34,mata-utu,-13.2816,-176.1745,26.96,87,100,5.51,WF,1708301899
35,ilulissat,69.2167,-51.1,-9.99,92,75,1.54,GL,1708301901
36,gazi,35.3253,25.0669,12.89,73,20,6.17,GR,1708301902
37,saipan,15.1355,145.701,24.39,88,100,7.2,MP,1708301903
38,bandar-e lengeh,26.5579,54.8807,16.06,36,0,2.06,IR,1708301904
39,khandyga,62.6667,135.6,-33.35,96,100,0.92,RU,1708301905
40,nafada,11.0956,11.3327,23.85,17,4,3.44,NG,1708301906
41,papatowai,-46.5619,169.4708,11.64,82,98,9.72,NZ,1708301907
42,pathein,16.7833,94.7333,23.3,61,0,5.71,MM,1708301908
43,luena,-11.7833,19.9167,17.78,94,87,2.19,AO,1708301908
44,enewetak,11.3474,162.3373,26.19,72,100,6.29,MH,1708301909
45,klyuchi,52.2667,79.1667,-27.03,99,15,2.69,RU,1708301911
46,edinburgh of the seven seas,-37.0676,-12.3116,14.9,65,30,9.37,SH,1708301912
47,gwadar,25.1216,62.3254,22.49,70,21,6.68,PK,1708301913
48,kodiak,57.79,-152.4072,5.73,87,100,2.06,US,1708301914
49,taos,36.4072,-105.5731,7.37,43,75,3.6,US,1708301915
50,tolanaro,-25.0319,46.9987,20.93,98,48,1.85,MG,1708301916
51,kharkhorin,47.1975,102.8238,-32.79,99,23,1.02,MN,1708301917
52,vilyuchinsk,52.9306,158.4028,-8.85,54,97,2.98,RU,1708301918
53,yellowknife,62.456,-114.3525,-16.99,83,75,2.57,CA,1708301919
54,olonkinbyen,70.9221,-8.7187,0.05,92,100,3.95,SJ,1708301920
55,vuktyl,63.8567,57.3094,-10.5,92,100,8.05,RU,1708301921
56,arar,30.9753,41.0381,11.01,62,0,2.06,SA,1708301922
57,blackmans bay,-43.0167,147.3167,17.07,75,100,0.89,AU,1708301923
58,hawaiian paradise park,19.5933,-154.9731,21.73,81,100,5.14,US,1708301923
59,mokhsogollokh,61.4681,128.9203,-37.2,100,99,1.3,RU,1708301924
60,grytviken,-54.2811,-36.5092,4.0,89,67,6.4,GS,1708301925
61,fairfield,41.2668,-73.3162,2.01,54,0,2.57,US,1708301926
62,puerto ayora,-0.7393,-90.3518,24.75,100,90,2.24,EC,1708301927
63,tazovsky,67.4667,78.7,-17.45,79,100,11.74,RU,1708301928
64,nouadhibou,20.931,-17.0347,19.99,83,0,6.17,MR,1708301929
65,touros,-5.1989,-35.4608,27.65,83,33,4.37,BR,1708301930
66,usinsk,65.9939,57.5281,-8.58,92,100,9.84,RU,1708301931
67,sanski most,44.7653,16.6656,6.96,85,7,1.84,BA,1708301932
68,bocaiuva,-17.1078,-43.815,21.84,94,97,1.85,BR,1708301933
69,midland,31.9974,-102.0779,12.37,35,0,5.14,US,1708301704
70,cruzeiro do sul,-29.5128,-51.9853,25.6,87,32,1.41,BR,1708301934
71,college,64.8569,-147.8028,-5.52,60,75,0.0,US,1708301935
72,nabire,-3.3667,135.4833,25.98,82,100,3.32,ID,1708301936
73,tiksi,71.6872,128.8694,-37.7,97,78,3.38,RU,1708301937
74,st. john's,47.5649,-52.7093,-4.62,88,40,12.86,CA,1708301718
75,margaret river,-33.95,115.0667,23.47,62,100,6.11,AU,1708301681
76,bredasdorp,-34.5322,20.0403,17.68,82,0,3.77,ZA,1708301940
77,saudarkrokur,65.7461,-19.6394,0.48,84,99,2.69,IS,1708301941
78,alofi,-19.0595,-169.9187,29.94,62,69,9.26,NU,1708301942
79,ribeira grande,38.5167,-28.7,16.54,79,11,2.24,PT,1708301943
80,salekhard,66.53,66.6019,-10.92,95,100,5.87,RU,1708301944
81,gulf shores,30.246,-87.7008,11.11,44,0,1.54,US,1708301688
82,snihurivka,47.0758,32.8052,1.41,76,98,4.37,UA,1708301946
83,punta arenas,-53.15,-70.9167,12.84,76,99,4.74,CL,1708301785
84,takoradi,4.8845,-1.7554,27.29,86,96,2.83,GH,1708301948
85,codrington,-38.2667,141.9667,18.56,68,24,5.21,AU,1708301949
86,vorgashor,67.5833,63.95,-11.89,90,100,8.65,RU,1708301949
87,petropavlovsk-kamchatsky,53.0452,158.6483,-9.67,62,0,4.02,RU,1708301827
88,undurkhaan,47.3194,110.6556,-36.18,96,41,1.85,MN,1708301952
